#	ZT0	ZT2	ZT4	ZT6	ZT8	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22
step-0.5-0	1.059820	1.489155	2.314444	0.268738	0.261610	0.763206	-0.740304	-0.077604	0.488467	2.525960	2.478213	2.098719
step-0.5-1	0.356819	-0.430152	1.569323	1.345697	1.479041	2.098381	2.120916	2.755391	0.380713	0.333588	0.595158	-0.218781
step-0.5-2	2.348939	2.007994	2.059646	2.530235	1.566525	0.928476	0.544275	-0.501123	0.338773	-0.046476	-0.314901	2.490534
step-0.5-3	2.360596	1.832616	2.931403	-0.330171	0.523225	-0.340629	0.150972	-0.515633	0.280704	1.744143	2.439883	2.382577
step-0.5-4	2.249433	2.271144	1.331246	0.846726	0.309753	0.150557	0.235180	0.500050	0.276512	1.959872	1.832141	1.987285
step-0.5-5	0.819313	0.532850	0.078709	0.231608	-1.008508	0.690045	1.994661	1.961388	1.304420	2.123597	1.963568	1.405130
step-0.5-6	-0.130028	0.104699	1.709255	2.005441	2.292817	2.613982	1.101198	1.798188	-0.307820	-0.093453	-0.001579	-0.051244
step-0.5-7	0.387598	1.895996	2.419034	2.531782	2.344833	2.105907	1.579119	0.672169	-0.095716	-0.063546	-0.689799	0.034908
step-0.5-8	1.694538	1.651154	1.804424	1.716521	1.995016	2.681303	0.080184	-0.050338	0.017699	0.418724	-0.488997	-0.638682
step-0.5-9	1.969435	2.650633	1.981028	2.201685	2.684223	2.217927	0.214807	-0.260307	-1.421594	0.022978	0.009012	0.003386
step-0.5-10	0.119873	1.764732	1.605190	1.919028	1.582611	2.239850	2.553504	-0.782344	-0.867378	0.352152	-0.752467	0.285909
step-0.5-11	1.771856	-0.278958	0.302289	-0.495744	0.250458	0.108016	-0.255592	2.216696	1.335073	0.945448	1.530230	1.844702
step-0.5-12	1.948337	1.009479	-0.568046	-0.252337	-0.588732	-0.104480	0.418435	2.749428	2.030351	1.743672	1.290013	2.201344
step-0.5-13	1.959069	-0.236262	0.130780	0.108274	0.022821	0.234038	-1.022720	2.333213	2.221711	2.534276	1.262320	1.526593
step-0.5-14	2.205007	2.411439	2.152797	0.390424	-0.327122	0.296780	-0.069980	0.471833	0.620962	1.993411	1.801859	1.837824
step-0.5-15	-0.261981	0.143348	0.260157	0.936538	1.577184	2.167705	2.243841	2.581244	2.230087	0.015287	0.663259	0.264134
step-0.5-16	1.289075	2.304575	2.062049	2.389465	-0.160622	0.673640	-0.036028	0.200350	0.058714	0.209455	1.429459	1.644036
step-0.5-17	0.316408	0.221914	0.131044	0.023310	2.268087	1.218684	2.456330	2.666275	1.997703	2.483830	-0.205896	-0.293741
step-0.5-18	3.005871	1.615893	2.278552	1.768472	1.504131	0.371427	0.175898	0.102729	0.479232	0.556905	0.091602	2.621496
step-0.5-19	0.254641	1.520697	2.506886	1.851154	3.054530	1.718602	2.830973	0.319590	0.102397	0.252446	0.402860	-0.340787
